policy_id,country_iso,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,impact_indicators,last_update,requested_country,combined_text,resilience,matching_metadata
211000002,DEU,&quot;Energy of the Future&quot; monitoring process Germany (2011),&quot;Energy of the Future&quot; monitoring process,Country,,Germany,,,"Policy support, Institutional creation, Strategic planning",General,"At the heart of the monitoring process for the energy transition is the Monitoring Report, which is published on an annual basis. The purpose of this report is to condense the reams of statistical information on energy that have been collected into a smaller, more manageable number of selected indicators. This information provides a fact-based overview of the current status of progress with regard to implementation of the energy reforms. The main source of this data is official energy statistics.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,In force,2011.0,,,Unknown,Mitigation,https://www.bmwi.de/Redaktion/EN/Artikel/Energy/monitoring-implementation-of-the-energy-reforms.html,,,DEU,"At the heart of the monitoring process for the energy transition is the Monitoring Report, which is published on an annual basis. The purpose of this report is to condense the reams of statistical information on energy that have been collected into a smaller, more manageable number of selected indicators. This information provides a fact-based overview of the current status of progress with regard to implementation of the energy reforms. The main source of this data is official energy statistics. Mitigation",1,Monitoring (Investment Type)
211000005,KOR,&quot;Kids ISO 14000 Program&quot; for Energy Conservation and GHG Reduction Republic of Korea (2005),&quot;Kids ISO 14000 Program&quot; for Energy Conservation and GHG Reduction,Country,,Republic of Korea,,,Information provision,"Electricity and heat, Buildings, Hot water and cooking, Appliances",,Energy efficiency,,In force,2005.0,,,Unknown,Mitigation,http://www.iso.org/iso/en/kidsiso14000/index.html,,,KOR, Mitigation,0,
211000006,FRA,&quot;MaPrimeRénov&quot; Programme France (2020),&quot;MaPrimeRénov&quot; Programme,Country,,France,,,Grants and subsidies,Buildings,"This programme aims at helping low-income individuals and households to renovate their housings in order to make them more energy efficient and better isolated. The subsidy has an upper limit of 20,000€ per flat/house on a 5 year period. People who do not qualify for this scheme can apply for the Energy Transition Tax Credit (CITE): http://climatepolicydatabase.org/index.php/The_Energy_Transition_Tax_Credit_(CITE)",Energy efficiency,1,In force,2020.0,,,Unknown,Mitigation,https://www.service-public.fr/particuliers/actualites/A13767,,,FRA,"This programme aims at helping low-income individuals and households to renovate their housings in order to make them more energy efficient and better isolated. The subsidy has an upper limit of 20,000€ per flat/house on a 5 year period. People who do not qualify for this scheme can apply for the Energy Transition Tax Credit (CITE): http://climatepolicydatabase.org/index.php/The_Energy_Transition_Tax_Credit_(CITE) Mitigation",0,
211000008,AUS,10 Star NatHERS Rating for Buildings Australia (2015),10 Star NatHERS Rating for Buildings,Country,,Australia,,,Building codes and standards,"Buildings, Construction","Star classification for MJ/m2 based on calculated energy demand. Stars range from 0-10 stars.
the policy is an update over the 6 Star NatHERS Rating for Buildings (2010).",Energy efficiency,,In force,2015.0,,,Unknown,Mitigation,http://www.nathers.gov.au/news/updated-nathers-strategic-plan-2015-2018,,,AUS,"Star classification for MJ/m2 based on calculated energy demand. Stars range from 0-10 stars.
the policy is an update over the 6 Star NatHERS Rating for Buildings (2010). Mitigation",0,
211000013,IND,100 Smart Cities Mission India (2015),100 Smart Cities Mission,Country,,India,,,"Funds to sub-national governments, Strategic planning",Buildings,,Energy service demand reduction and resource efficiency,,In force,2015.0,,,Unknown,Mitigation,https://www.iea.org/policies/7463-100-smart-cities-mission?country=India&amp;amp;page=3&amp;amp;qs=india,,,IND, Mitigation,0,
211000014,SAU,10th Development Plan Saudi Arabia (2014),10th Development Plan,Country,,Saudi Arabia,,,Strategic planning,General,"&quot;Key drivers adopted in the 10th plan are as follows:
- Introduce new programs and projects to increase value added of oil and gas resources in all production activities, and promote industries using these resources.
- Increase real value added of non-oil sectors annually by an average of 8.5% of GDP (at constant prices of 2010) and its share from 59.1% in 2014 to 66% in 2019.
- Growing the share of private sector in the GDP (at constant prices of 2010) from 44.9% in 2014, to 50.6% in 2019.
- Increasing the annual growth rate of the manufacturing industries sector from 8.36%in 2014 to 10.58% in 2019, and the Mining and Quarrying sector from 5.98% in 2014 to 8.56% in 2019.
- Increase in public investment is planned for the coming five years, about 2.4 trillion Riyal to finance development projects of the major sectors, including human resources, economic resources, social and health, and infrastructure. The 10th development Plan allocates 372 billion Riyals for spending on infrastructure, which is about 76% more than what was allocated in the 9th Plan. This will be accompanied by new measures for the rationalization of government spending.&quot; (http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf)
&quot;As a first step towards greater diversification, the plan envisages raising utilisation rates of mineral resources, diversifying sector activities and developing local processing of mining raw materials. In terms of petrochemicals, this will involve developing upstream and downstream industrial activities that depend on oil and gas. Production capacity in the industrial sector will also be expanded in line with the National Industrial Strategy, with an emphasis on projects related to the diversification of energy sources away from oil. The plan aims to increase the contribution of the services sector to GDP, with an emphasis on financial, tourism, transport, engineering, communications and IT services, according to the Ministry of Economy and Planning (MEP).&quot; (http://www.oxfordbusinessgroup.com/analysis/long-game-new-development-plan-shows-clear-commitment-education-and-private-sector)",Energy service demand reduction and resource efficiency,,In force,2014.0,2015.0,,unclear,Economic development,http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf,,,SAU,"&quot;Key drivers adopted in the 10th plan are as follows:
- Introduce new programs and projects to increase value added of oil and gas resources in all production activities, and promote industries using these resources.
- Increase real value added of non-oil sectors annually by an average of 8.5% of GDP (at constant prices of 2010) and its share from 59.1% in 2014 to 66% in 2019.
- Growing the share of private sector in the GDP (at constant prices of 2010) from 44.9% in 2014, to 50.6% in 2019.
- Increasing the annual growth rate of the manufacturing industries sector from 8.36%in 2014 to 10.58% in 2019, and the Mining and Quarrying sector from 5.98% in 2014 to 8.56% in 2019.
- Increase in public investment is planned for the coming five years, about 2.4 trillion Riyal to finance development projects of the major sectors, including human resources, economic resources, social and health, and infrastructure. The 10th development Plan allocates 372 billion Riyals for spending on infrastructure, which is about 76% more than what was allocated in the 9th Plan. This will be accompanied by new measures for the rationalization of government spending.&quot; (http://g20.org.tr/wp-content/uploads/2014/12/g20_comprehensive_growth_strategy_saudi_arabia.pdf)
&quot;As a first step towards greater diversification, the plan envisages raising utilisation rates of mineral resources, diversifying sector activities and developing local processing of mining raw materials. In terms of petrochemicals, this will involve developing upstream and downstream industrial activities that depend on oil and gas. Production capacity in the industrial sector will also be expanded in line with the National Industrial Strategy, with an emphasis on projects related to the diversification of energy sources away from oil. The plan aims to increase the contribution of the services sector to GDP, with an emphasis on financial, tourism, transport, engineering, communications and IT services, according to the Ministry of Economy and Planning (MEP).&quot; (http://www.oxfordbusinessgroup.com/analysis/long-game-new-development-plan-shows-clear-commitment-education-and-private-sector) Economic development",1,Diversity (System Attribute)
211000023,IND,20 point Programme India (1986),20 point Programme,Country,,India,,,Strategic planning,General,&quot;The TPP further restructured in 2006 had following Points: Poverty eradication power to people Support to farmers Labour welfare Food security Clean drinking water Housing for all Health for all Education for all Welfare of SC/ ST/ OBC and minorities Women welfare Child welfare Youth Development Improvement of slums Environment protection and afforestation Social security Rural Roads Energising of rural areas Development of Backward areas IT enabled and e-governance&quot; (http://www.gktoday.in/twenty-point-programme_22/),"Energy service demand reduction and resource efficiency, Non-energy use",,In force,1986.0,,,Unknown,Economic development,http://mospi.nic.in/twenty-point-programme/archived-twenty-point-programme-1986,,,IND,&quot;The TPP further restructured in 2006 had following Points: Poverty eradication power to people Support to farmers Labour welfare Food security Clean drinking water Housing for all Health for all Education for all Welfare of SC/ ST/ OBC and minorities Women welfare Child welfare Youth Development Improvement of slums Environment protection and afforestation Social security Rural Roads Energising of rural areas Development of Backward areas IT enabled and e-governance&quot; (http://www.gktoday.in/twenty-point-programme_22/) Economic development,1,Protection (Investment Type)
211000028,CHN,Biomass electricity Feed-in tariff China (2010),Biomass electricity Feed-in tariff,Country,,China,,,"Strategic planning, Feed-in tariffs or premiums","Electricity and heat, Renewables",,Renewables,,In force,2010.0,,,Unknown,Mitigation,https://www.iea.org/policies/4987-2010-biomass-electricity-feed-in-tariff,,,CHN, Mitigation,0,
211000029,BRA,10-year Plan for Energy Expansion Brazil (PDE - 2019),10-year Plan for Energy Expansion,Country,,Brazil,,,"Infrastructure investments, Policy support, Strategic planning, Renewable energy target, Political &amp; non-binding renewable energy target","Electricity and heat, Renewables","The latest PDE was published in November 2019. This report presents the Brazilian energy sector expansion for the next ten years. It is the most comprehensive plan for the energy sector in Brazil, providing detailed information on capacity additions for power generation, investments estimates and fuel production plans and demand projections.
PDE’s primary purpose is to indicate the prospects of expansion of the energy sector with a horizon of ten years, from the perspective of the Brazilian Government. PDE targets 40 GW wind, 16 GW biomass, 9 GW small hydropower and 104 GW large hydropower installed by 2029. It further targets 48% renewable share (36% excluding hydropower) in total primary energy supply by 2029, and 81% renewable share (34% excluding hydropower) in total electricity generation by 2029.
(February 2020)
 ","Other low-carbon technologies and fuel switch, Renewables",,In force,2019.0,2020.0,2029.0,High,Mitigation,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-422/PDE%202029.pdf,"
          
  
    Name
              Energy efficiency improvement target (%)
          

  
    Target year
              2020
          

  
    Value
              146.50
          

      -------
          
  
    Name
              Energy efficiency improvement target (%)
          

  
    Target year
              2020
          

  
    Value
              5.00
          

      -------
          
  
    Name
              Afforested/Reforested area (ha/year)
          

  
    Target year
              2020
          

  
    Value
              23.04
          

      -------
          
  
    Name
              Afforested/Reforested area (ha/year)
          

  
    Target year
              2020
          

  
    Value
              221000000.00
          

      -------
          
  
    Name
              Afforested/Reforested area (ha/year)
          

  
    Target year
              2020
          

  
    Value
              16500000000.00
          

      -------
          
  
    Name
              Afforested/Reforested area (ha/year)
          

  
    Target year
              2020
          
Afforested/Reforested area (ha)
  
    Value
              20000.00
          

      -------
          
  
    Name
              Share of renewables (%)
          

  
    Target year
              2024
          
Share of renewables in electricity generation excl. Hydro (%), Share of renewables in electricity generation excl. Hydro (%), Electricity capacity Hydro (GW), Electricity capacity small hydro (GW), Electricity capacity bioenergy (GW), Electricity capacity solar (GW), Electricity capacity wind (GW), Share of renewables in TPES including hydro (%), Share of renewables in TPES excluding hydro (%), Share of bioenergy in TPES (%)
  
    Value
              17.00
          

      -------
          
  
    Name
              Share of renewables (%)
          

  
    Target year
              2029
          

  
    Value
              22.00
          

      -------
          
  
    Name
              Capacity of renewables (MW)
          

  
    Target year
              2029
          

  
    Value
              104.70
          

      -------
          
  
    Name
              Capacity of renewables (MW)
          

  
    Target year
              2029
          

  
    Value
              9.96
          

      ",,BRA,"The latest PDE was published in November 2019. This report presents the Brazilian energy sector expansion for the next ten years. It is the most comprehensive plan for the energy sector in Brazil, providing detailed information on capacity additions for power generation, investments estimates and fuel production plans and demand projections.
PDE’s primary purpose is to indicate the prospects of expansion of the energy sector with a horizon of ten years, from the perspective of the Brazilian Government. PDE targets 40 GW wind, 16 GW biomass, 9 GW small hydropower and 104 GW large hydropower installed by 2029. It further targets 48% renewable share (36% excluding hydropower) in total primary energy supply by 2029, and 81% renewable share (34% excluding hydropower) in total electricity generation by 2029.
(February 2020)
  Mitigation",0,
211000033,CHN,Renewable Energy Electricity feed-in tariff China (2012),Renewable Energy Electricity feed-in tariff,Country,,China,,,Feed-in tariffs or premiums,"Electricity and heat, Renewables","Solar PV:
&quot;The National Development and Reform Commission (NDRC) and the National Energy Administration (NEA) of China have revised feed-in tariffs (FiT) for solar power in 2016, reducing the rates:
- FiT tariffs in the Region I (western provinces suffering power restrictions, such as Ningxia, Qinghai and Xinjiang) will be cut by around 11% from Cyu 0.90/kWh in 2015 to Cyu 0.80/kWh in 2016 (from US$13.9c/kWh to US$12.3c/kWh);
- those in the Region II (Beijing, Tianjin and certain districts in Qinghai, Xinjiang and Gansu) will be reduced by 7.3%, from Cyu 0.95/kWh to Cyu 0.88/kWh in 2016 (from US$14.7c/kWh to US$13.6c/kWh);
- in the Region III (eastern China), FIT will decrease by 2%, from Cyu 1/kWh to Cyu 0.98/kWh (from US$15.4c/kWh to US$15.1c/kWh) in 2016.
Solar PV plants approved in 2015 and connected to the grid before 30 June 2016 will be eligible to benefit from the 2015 feed-in tariffs.&quot; (http://www.enerdata.net/enerdatauk/press-and-publication/energy-news-001/china-revises-solar-and-wind-feed-tariffs-2016_35469.html)
Concerning offshore projects, the inter-tidal projects will enjoy a tariff of RMB 0.75 (USD 0.12) per kilowatt hour while the nearshore tariff will set at RMB 0.85 (USD 0.14)/kWh.
Onshore wind will feed-in tariffs will be between 0.47CNY/kWh and 0.6CNY/kWh depending on the region in which it is installed.",Renewables,,In force,2012.0,,,High,Mitigation,https://www.iea.org/policies/5295-2012-renewable-energy-electricity-feed-in-tariff,,,CHN,"Solar PV:
&quot;The National Development and Reform Commission (NDRC) and the National Energy Administration (NEA) of China have revised feed-in tariffs (FiT) for solar power in 2016, reducing the rates:
- FiT tariffs in the Region I (western provinces suffering power restrictions, such as Ningxia, Qinghai and Xinjiang) will be cut by around 11% from Cyu 0.90/kWh in 2015 to Cyu 0.80/kWh in 2016 (from US$13.9c/kWh to US$12.3c/kWh);
- those in the Region II (Beijing, Tianjin and certain districts in Qinghai, Xinjiang and Gansu) will be reduced by 7.3%, from Cyu 0.95/kWh to Cyu 0.88/kWh in 2016 (from US$14.7c/kWh to US$13.6c/kWh);
- in the Region III (eastern China), FIT will decrease by 2%, from Cyu 1/kWh to Cyu 0.98/kWh (from US$15.4c/kWh to US$15.1c/kWh) in 2016.
Solar PV plants approved in 2015 and connected to the grid before 30 June 2016 will be eligible to benefit from the 2015 feed-in tariffs.&quot; (http://www.enerdata.net/enerdatauk/press-and-publication/energy-news-001/china-revises-solar-and-wind-feed-tariffs-2016_35469.html)
Concerning offshore projects, the inter-tidal projects will enjoy a tariff of RMB 0.75 (USD 0.12) per kilowatt hour while the nearshore tariff will set at RMB 0.85 (USD 0.14)/kWh.
Onshore wind will feed-in tariffs will be between 0.47CNY/kWh and 0.6CNY/kWh depending on the region in which it is installed. Mitigation",0,
