Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
Afghanistan,2017,19.0,1.0,19.0,1.0,1.0,1.0,19.0,1,19.0,1.0,1.0,1.0
Afghanistan,2019,190.49,3.0,18.89,1.0,0.09916531051498766,0.3333333333333333,190.49,3,18.89,1.0,0.09916531051498766,0.3333333333333333
Albania,2011,4.16,1.0,4.16,1.0,1.0,1.0,4.16,1,4.16,1.0,1.0,1.0
Albania,2012,134.39999999999998,7.0,134.39999999999998,7.0,1.0,1.0,1504.3999999999999,8,1504.3999999999999,8.0,1.0,1.0
Albania,2013,19.4,1.0,19.4,1.0,1.0,1.0,19.4,1,19.4,1.0,1.0,1.0
Albania,2014,177.3,1.0,177.3,1.0,1.0,1.0,177.3,1,177.3,1.0,1.0,1.0
Albania,2023,187.33,2.0,187.33,2.0,1.0,1.0,187.33,2,187.33,2.0,1.0,1.0
Algeria,2012,30.3,1.0,30.3,1.0,1.0,1.0,30.3,1,30.3,1.0,1.0,1.0
Angola,2014,112.0,1.0,112.0,1.0,1.0,1.0,112.0,1,112.0,1.0,1.0,1.0
Angola,2024,1600.0,1.0,1600.0,1.0,1.0,1.0,1600.0,1,1600.0,1.0,1.0,1.0
Argentina,2011,175.8,3.0,175.8,3.0,1.0,1.0,175.8,3,175.8,3.0,1.0,1.0
Argentina,2012,593.0,5.0,593.0,5.0,1.0,1.0,593.0,5,593.0,5.0,1.0,1.0
Argentina,2013,1039.0,3.0,1039.0,3.0,1.0,1.0,1039.0,3,1039.0,3.0,1.0,1.0
Argentina,2015,120.0,1.0,120.0,1.0,1.0,1.0,120.0,1,120.0,1.0,1.0,1.0
Argentina,2017,1826.1,11.0,737.6,7.0,0.40392092437434973,0.6363636363636364,1826.1,11,737.6,7.0,0.40392092437434973,0.6363636363636364
Argentina,2018,1126.82,16.0,901.82,15.0,0.8003230329600115,0.9375,1151.82,18,926.82,17.0,0.8046569776527583,0.9444444444444444
Argentina,2019,2060.4,11.0,1895.4,10.0,0.9199184624344787,0.9090909090909091,2060.4,11,1895.4,10.0,0.9199184624344787,0.9090909090909091
Argentina,2020,160.0,1.0,160.0,1.0,1.0,1.0,160.0,1,160.0,1.0,1.0,1.0
Argentina,2022,516.0,4.0,381.0,3.0,0.7383720930232558,0.75,516.0,4,381.0,3.0,0.7383720930232558,0.75
Argentina,2023,720.0,4.0,720.0,4.0,1.0,1.0,720.0,4,720.0,4.0,1.0,1.0
Argentina,2024,33.0,1.0,33.0,1.0,1.0,1.0,33.0,1,33.0,1.0,1.0,1.0
Armenia,2015,,,,,,,250.0,1,250.0,1.0,1.0,1.0
Armenia,2019,321.4,1.0,0.0,0.0,0.0,0.0,321.4,1,0.0,0.0,0.0,0.0
Armenia,2021,53.01,1.0,53.01,1.0,1.0,1.0,53.01,1,53.01,1.0,1.0,1.0
Armenia,2022,37.0,1.0,37.0,1.0,1.0,1.0,37.0,1,37.0,1.0,1.0,1.0
