Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Sponsors Country,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,is_resilient
East Asia and Pacific,Cambodia,Low income,IDA,2001,May,Kampong Cham City Diesel Plant,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kampong Cham City,25,National,Not Available,,Not Available,,,2001,100,0,8,8.0,MW,20,Diesel,,,Not Available,,Global Technological Support Bhd (Not Available / 100% ),Malaysia,Not Applicable,,No,No,,,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2001,100,0,20,20.0,MW,12,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% ),China,Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2008,100,Not Available,47.1,47.1,MW,30,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% ),China,Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,September,Siem Reap International Airport (SRIA),,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,Siem Reap,40,National,Not Available,,Not Available,,,2001,100,0,65,65.0,Number of runways,1,,,Not Applicable,Not Available,,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,IFC (Loan / $10 Million / 2004),No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,September,Siem Reap International Airport (SRIA),,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,Siem Reap,40,National,Not Available,,Not Available,,,2004,100,0,23.9,23.9,Number of runways,1,,,Not Applicable,Not Available,,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,IFC (Loan / $10 Million / 2004),No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2002,April,Koh Kong Bridge,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Bridge,"Koh Pao Canal, Koh Kong Province",30,National,Not Available,,Not Available,,,2002,100,0,7.2,7.2,KM,2,,,,Not Available,,Li Yong Phat (Not Available / 100% ),"Hong Kong, China",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2004,February,Khmer Electric Power,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,"Khan Mean Chay, Pnohm Penh",18,National,Not Available,,Not Available,,,2004,100,0,25,25.0,MW,32,Diesel,,,Not Available,,Anco Group (Not Available / 100% ),Cambodia,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2004,September,Mondulkiri Province Toll Road ,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Mondulkiri Province,30,Local/Municipal,Not Available,,Not Available,,,2004,100,0,6,6.0,KM,36,,,,Not Available,,Sorla Investment Co. (Not Available / 100% ),Cambodia,Not Applicable,,No,No,,,,Yes,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2005,July,Colben Energy,Colben System,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Phnom Penh and Sihanoukville,10,National,Not Available,,Not Available,,,2005,100,0,25,25.0,MW,15,Diesel,,,Direct negotiation,,Asiatic Group (Not Available / 100% ),Singapore,Purchase agreements or transmission fees with public entity(ies),,No,No,,,Alfa (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2006,July,Sihanoukville International Airport,"SCA, Société Concessionnaire de l’Aéroport",Brownfield,"Build, rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,"Sihanoukville, Cambodia",35,National,Not Available,,Not Available,,,2006,100,0,40.1,40.1,Number of runways,1,,,Highest new investment,Competitive bidding,Not Available,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,"IFC (Loan / $8 Million / 2007), 

IFC (Loan / $10 Million / 2007)",No,,,,,No,0.0
