Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
Afghanistan,2003,1,1.58,0.0,0.0,0.0,0.0
Afghanistan,2005,1,40.1,0.0,0.0,0.0,0.0
Afghanistan,2006,1,8.3,0.0,0.0,0.0,0.0
Afghanistan,2017,1,19.0,1.0,19.0,1.0,1.0
Afghanistan,2019,3,190.49,1.0,18.89,0.3333333333333333,0.09916531051498766
Albania,2000,1,102.2,0.0,0.0,0.0,0.0
Albania,2002,3,16.0,3.0,16.0,1.0,1.0
Albania,2003,2,0.0,2.0,0.0,1.0,
Albania,2005,1,308.0,0.0,0.0,0.0,0.0
Albania,2007,1,161.0,0.0,0.0,0.0,0.0
Albania,2009,2,272.0,2.0,272.0,1.0,1.0
Albania,2011,1,4.16,1.0,4.16,1.0,1.0
Albania,2012,8,1504.3999999999999,8.0,1504.3999999999999,1.0,1.0
Albania,2013,2,70.69999999999999,1.0,19.4,0.5,0.27439886845827444
Albania,2014,1,177.3,1.0,177.3,1.0,1.0
Albania,2017,1,284.6,0.0,0.0,0.0,0.0
Albania,2018,2,178.9,0.0,0.0,0.0,0.0
Albania,2021,1,124.8,0.0,0.0,0.0,0.0
Albania,2023,2,187.33,2.0,187.33,1.0,1.0
Algeria,2001,1,368.5,0.0,0.0,0.0,0.0
Algeria,2004,1,562.0,0.0,0.0,0.0,0.0
Algeria,2005,7,1392.0,4.0,510.0,0.5714285714285714,0.36637931034482757
Algeria,2006,3,2320.0,0.0,0.0,0.0,0.0
Algeria,2007,4,391.0,3.0,230.0,0.75,0.5882352941176471
Algeria,2008,5,874.0,5.0,874.0,1.0,1.0
Algeria,2009,5,926.0,2.0,468.0,0.4,0.5053995680345572
Algeria,2011,1,0.0,1.0,0.0,1.0,
Algeria,2012,1,30.3,1.0,30.3,1.0,1.0
Algeria,2017,2,21.709999999999997,0.0,0.0,0.0,0.0
Algeria,2023,1,358.82,0.0,0.0,0.0,0.0
Angola,2001,1,68.0,0.0,0.0,0.0,0.0
Angola,2003,1,45.0,1.0,45.0,1.0,1.0
Angola,2006,2,9.4,0.0,0.0,0.0,0.0
Angola,2007,3,53.0,0.0,0.0,0.0,0.0
Angola,2008,1,0.0,0.0,0.0,0.0,
Angola,2009,1,120.0,1.0,120.0,1.0,1.0
Angola,2010,1,200.0,0.0,0.0,0.0,0.0
Angola,2014,1,112.0,1.0,112.0,1.0,1.0
Angola,2021,1,190.0,0.0,0.0,0.0,0.0
Angola,2023,1,31.0,0.0,0.0,0.0,0.0
Angola,2024,2,2400.0,1.0,1600.0,0.5,0.6666666666666666
Argentina,2000,10,956.0,3.0,691.1,0.3,0.722907949790795
Argentina,2001,4,70.4,0.0,0.0,0.0,0.0
Argentina,2002,1,67.0,1.0,67.0,1.0,1.0
Argentina,2003,6,0.0,0.0,0.0,0.0,
Argentina,2006,4,1396.0,0.0,0.0,0.0,0.0
Argentina,2007,1,9.5,0.0,0.0,0.0,0.0
