Country_ISO_code,Country,Publication_year,All-at-once disc.?,Issued by Govern. Inst.?,No comply-or-explain disc?,Disclosure venue,Regulation,Issuing institution
ARG,Argentina,2008,1,1,1,Sustainability Reports,Ley N 2594 de balance de responsabilidad social y ambiental,Buenos Aires City Council
AUS,Australia,2003,0,0,1,Annual Report,"Listing Rule 4.10.3, Australian Stock Exchange",Australian Stock Exchange
AUT,Austria,2016,0,1,1,Management Report; Non-Financial Report,Transposition of EU NFR Directive: Sustainability and Diversity Improvement Act 257/ME,Ministry of Justice
BEL,Belgium,2009,0,1,1,Annual Report,The 2009 Belgian Code on Corporate Governance,Corporate Governance Committee
BGR,Bulgaria,2016,1,1,0,"Annual Report, Sustainability Report",Transposition of EU NFR Directive: The New Accounting Act,Governments(finance/Treasury)
CAN,Canada,2004,1,0,1,Data Disclosure,The TSX Timely Disclosure Policy,Stock Exchange
CHL,Chile,2015,0,1,0,Annual Report,Norma de Caracter General N 385/386,Superintendencia de valores y seguros
CHN,China,2008,1,0,1,Annual Social Responsibility Report,Guidelines on Listed Companies' Environmental Information Disclosure,Shanghai Stock Exchange (SSE)
CYP,Cyprus,2016,1,1,0,"Annual Report, Sustainability Report",Transposition of EU NFR Directive: Amendments to the Companies Act,Governments(finance/Treasury)
DNK,Denmark,2016,1,1,0,Annual Report,Transposition of EU NFR Directive: Executive order No. 558,Governments (Danish Business Authority)
EST,Estonia,2016,1,1,0,Not Specified,Transposition of EU NFR Directive: Amendments to Accounting Act,Governments (Ministry of Finance)
FIN,Finland,2016,1,1,0,Annual Report,Transposition of EU NFR Directive: HE 208/2016 Government proposal to Parliament for Amendments to Accounting Act and certain related Acts,Governments (Ministry of Economic Affairs and Employment)
FRA,France,2001,1,1,1,Annual Report,New Economic Regulations Act (NRE),Parliament
DEU,Germany,2016,1,1,0,Annual Report,Transposition of EU NFR Directive: CSR Directive Implementation Act,Governments (Ministry of Justice and Consumer Affairs )
GRC,Greece,2006,1,1,1,Annual Report,"Law 3487, 2006",Parliament
HKG,Hong Kong,2015,1,0,0,"Directors' Report, ESG Report",HKEX Listing Rules Disclosure of Financial Information,Hong Kong Stock Exchange
HUN,Hungary,2016,1,1,0,Annual Report,Transposition of EU NFR Directive: Amendments to Accounting Act C of 2000,"Governments (Ministry of National Economy, accounting and supervision)"
IND,India,2015,1,1,1,Sustainability Report,Circular No. CIR/CFD/CMD/10/2015 Format for Business Responsibility Report,Securities and Exchange Board of India (SEBI)
IDN,Indonesia,2012,0,1,1,Annual Report,Rule No.KEP-431/BL/2012 concerning the obligation to submit annual reports for issuers of public companies,Capital Market and Financial Institutions Supervisory Agency (Bapepam-LK)
IRL,Ireland,2016,1,1,0,"Non-financial Statement, Director Report",Transposition of EU NFR Directive (1),"Governments (Department of Jobs, Enterprise and Innovation)"
ITA,Italy,2016,1,1,0,Management Report,"Transposition of EU NFR Directive: legislative Decree 30 December 2016, n.254",Ministry of Economic Affaris
MYS,Malaysia,2007,0,0,0,Annual Report,Main Markets listing requirements CSR description,Bursa Malaysia Securities Berhad
MLT,Malta,2016,1,1,0,"Annual Report, Sustainability Report",Transposition of EU NFR Directive: Amendments of the Companies Act and of the Accountancy Profession Act,Ministry of Finance (Government)
NLD,Netherlands,2016,0,1,0,Annual Management Report,Transposition of EU NFR Directive,Ministry of Security and Justice
NOR,Norway,2013,0,1,1,Annual and Sustainablity Reports,Act amending the Norwegian Accounting Act,Norwegian Parliament
PAK,Pakistan,2009,1,1,1,Directors' Report,Companies (Corporate Social Responsibility) general order,Securities and exchange commission of Pakistan
PER,Peru,2015,1,1,1,Sustainability Reports,Resolucion SMV No 033-2015-SMV/01,Peruvian Capital Markets Superintendency
PHL,Philippines,2011,1,1,1,Annual Report,"Corporate Social Responsibility Act, 2011",Committee on trade and commerce
POL,Poland,2016,1,1,1,Annual Report,Transposition of EU NFR Directive: Amendments to the Accounting Act,Governments
PRT,Portugal,2010,0,1,1,Annual Report,The Financial Reporting Accounting Standard n 26,Commission for Accounting Normalization
ROU,Romania,2016,1,1,0,Directive Report,"Transposition of EU NFR Directive: Act No 1938 as ""Order regarding changes and additions to existing accounting regulations""",Governments (Ministry of Public Finance)
SGP,Singapore,2016,0,0,0,Sustainability Reports,SGX0ST Listing Rules Practice Note 7.6 Amendments to sustainability reporting guide,Singapore Stock Exchange (SGX)
SVN,Slovenia,2017,1,1,0,Annual Reports,Transposition of EU NFR Directive: Amending the Companies Act,Governments
ZAF,South Africa,2010,1,0,0,Integrated/Sustainability Report,Johannesburg Stock Exchange Listing Requirement 2010,Johannesburg Stock Exchange (JSE)
ESP,Spain,2012,0,1,0,Annual Report/Sustainability Report,Spanish Sustainable Economy Law (revision of 2011),The National Securities Market (CNVM)
SWE,Sweden,2016,1,1,0,"Annual Report, Sustainability Report",Transposition of EU NFR Directive: Corporate sustainability reporting and diversity policy,Governments(Ministry of Industries and Innovation)
TWN,Taiwan (China),2019,1,0,1,Sustainability Reports,Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Corporate Social Responsibility Reports by TWSE Listed Companies,Taiwan Stock Exchange (TWSE)
TUR,Turkey,2014,0,1,1,GHG Report/Annual Report,GHG Moniroting Regulation/Communique on corporate governance principles,Capital Markets Board of Turkey
GBR,United Kingdom,2013,0,1,1,Strategic Report; Director's Report,The companies Act 2006 Regulations 2013,Secretary of State
