jurisdiction,type,start_year
ALB,Carbon tax,2024
ARG,Carbon tax,2018
AUS,ETS,2012
AUS,ETS,2023
AUT,ETS,2022
CAN,Carbon tax,2019
CAN,ETS,2019
CHL,Carbon tax,2017
CHN,ETS,2021
COL,Carbon tax,2017
DNK,Carbon tax,1992
EST,Carbon tax,2000
FIN,Carbon tax,1990
FRA,Carbon tax,2014
DEU,ETS,2021
ISL,Carbon tax,2010
IDN,ETS,2023
IRL,Carbon tax,2010
JPN,Carbon tax,2012
KAZ,ETS,2013
KOR,ETS,2015
LVA,Carbon tax,2004
LIE,Carbon tax,2008
LUX,Carbon tax,2021
MEX,Carbon tax,2014
MEX,ETS,2014
MNE,ETS,2020
NLD,Carbon tax,2021
NZL,ETS,2008
NOR,Carbon tax,1991
POL,Carbon tax,1990
PRT,Carbon tax,2015
SGP,Carbon tax,2019
SVN,Carbon tax,1996
ZAF,Carbon tax,2019
ESP,Carbon tax,2014
SWE,Carbon tax,1991
CHE,Carbon tax,2008
CHE,ETS,2008
UKR,Carbon tax,2011
GBR,Carbon tax,2013
GBR,ETS,2021
URY,Carbon tax,2022
