requested_country,n_policies,first_year,last_year,n_objectives,n_sectors,n_policy_instruments
AFG,2,2014-01-01,2015-01-01,2,2,2
AGO,14,2008-01-01,2021-01-01,4,6,9
ALB,6,2008-01-01,2021-01-01,3,5,5
AND,2,2019-01-01,2020-01-01,2,2,2
ARE,45,2002-01-01,2024-01-01,6,24,32
ARG,107,1994-01-01,2026-01-01,13,35,72
ARM,4,2011-01-01,2021-01-01,2,3,4
ATG,2,2015-01-01,2021-01-01,2,2,2
AUS,320,1989-01-01,2026-01-01,21,72,206
AUT,13,1993-01-01,2018-01-01,2,5,11
AZE,3,2011-01-01,2023-01-01,2,1,3
BDI,5,2013-01-01,2021-01-01,3,2,3
BEL,88,1992-01-01,2019-01-01,3,18,46
BEN,6,2003-01-01,2021-01-01,3,2,6
BFA,4,2008-01-01,2021-01-01,3,3,3
BGD,14,2003-01-01,2021-01-01,5,7,11
BGR,33,1996-01-01,2019-01-01,7,18,22
BHR,2,2015-01-01,2021-01-01,1,1,1
BHS,3,2005-01-01,2023-01-01,3,3,3
BIH,6,2009-01-01,2021-01-01,3,3,6
BLR,19,1998-01-01,2022-01-01,4,8,14
BLZ,5,2009-01-01,2021-01-01,4,3,4
BOL,8,1996-01-01,2020-01-01,4,5,4
BRA,161,1981-01-01,2025-01-01,14,41,107
BRB,5,2012-01-01,2021-01-01,4,3,5
BRN,3,2014-01-01,2020-01-01,3,2,3
BTN,37,1995-01-01,2025-01-01,11,13,21
BWA,4,2009-01-01,2020-01-01,3,3,4
CAF,1,2015-01-01,2015-01-01,1,1,1
CAN,334,1974-01-01,2026-01-01,15,71,198
CHE,55,1991-01-01,2025-01-01,3,20,41
CHL,69,2004-01-01,2025-01-01,9,29,50
CHN,250,1982-01-01,2026-01-01,18,57,138
CIV,2,2015-01-01,2017-01-01,1,2,2
CMR,7,2009-01-01,2021-01-01,2,3,5
COD,7,2011-01-01,2021-01-01,3,4,5
COL,82,1993-01-01,2025-01-01,12,25,47
COM,2,2017-01-01,2021-01-01,2,2,2
CPV,4,2010-01-01,2021-01-01,2,3,4
CRI,45,1990-01-01,2025-01-01,7,21,28
CUB,10,1993-01-01,2020-01-01,4,5,6
CYP,3,2009-01-01,2019-01-01,1,2,3
CZE,11,2000-01-01,2018-01-01,1,5,11
DEU,251,1971-01-01,2025-01-01,7,64,151
DJI,2,2014-01-01,2015-01-01,2,2,2
DMA,2,2012-01-01,2015-01-01,1,1,2
DNK,51,1976-01-01,2019-01-01,3,19,36
DOM,9,2000-01-01,2021-01-01,5,5,9
DZA,15,1999-01-01,2015-01-01,4,5,12
ECU,13,2009-01-01,2019-01-01,4,6,10
EGY,27,2007-01-01,2024-01-01,4,11,24
ERI,2,2015-01-01,2023-01-01,2,2,2
ESP,165,1991-01-01,2020-01-01,6,32,86
EST,6,2000-01-01,2018-01-01,2,6,5
ETH,33,1994-01-01,2025-01-01,8,12,19
FIN,28,1990-01-01,2021-01-01,4,12,19
FJI,5,2006-01-01,2020-01-01,3,3,5
FRA,231,1991-01-01,2023-01-01,5,66,142
FSM,6,2009-01-01,2017-01-01,4,2,6
GAB,10,2005-01-01,2018-01-01,5,3,5
GBR,241,1979-01-01,2026-01-01,14,62,145
GEO,17,2015-01-01,2023-01-01,5,13,16
GHA,10,1997-01-01,2021-01-01,5,6,6
GIN,3,2015-01-01,2021-01-01,3,3,3
GMB,13,2009-01-01,2022-01-01,3,7,8
GNB,3,2015-01-01,2021-01-01,2,2,2
GNQ,1,2015-01-01,2015-01-01,1,1,1
GRC,15,1994-01-01,2018-01-01,1,11,15
GRD,8,2007-01-01,2020-01-01,5,3,6
GTM,8,2003-01-01,2015-01-01,5,4,6
GUY,4,2001-01-01,2015-01-01,4,3,4
HND,6,2010-01-01,2021-01-01,4,3,6
HRV,3,2009-01-01,2018-01-01,2,3,3
HTI,1,2015-01-01,2015-01-01,1,1,1
HUN,11,2007-01-01,2023-01-01,2,7,10
IDN,170,1970-01-01,2025-01-01,15,43,105
IND,247,1927-01-01,2025-01-01,17,59,158
IRL,18,1999-01-01,2018-01-01,3,9,16
IRN,15,2001-01-01,2017-01-01,2,9,13
IRQ,5,2013-01-01,2021-01-01,2,4,4
ISL,8,2007-01-01,2021-01-01,2,4,7
ISR,23,1970-01-01,2021-01-01,2,8,18
ITA,134,1991-01-01,2022-01-01,4,41,93
JAM,7,2002-01-01,2020-01-01,3,3,6
JOR,6,2003-01-01,2021-01-01,4,4,5
JPN,222,1964-01-01,2025-01-01,10,65,139
KAZ,30,2003-01-01,2025-01-01,3,15,27
KEN,43,1995-01-01,2025-01-01,6,18,21
KGZ,4,2015-01-01,2021-01-01,2,2,3
KHM,5,2009-01-01,2021-01-01,3,2,5
KIR,4,2013-01-01,2023-01-01,3,2,4
KNA,2,2015-01-01,2021-01-01,2,1,1
KOR,185,1975-01-01,2025-01-01,13,65,130
KWT,9,1983-01-01,2021-01-01,2,7,8
LAO,4,2010-01-01,2021-01-01,3,2,4
LBN,3,2015-01-01,2021-01-01,2,2,3
LBR,1,2015-01-01,2015-01-01,1,1,1
LBY,1,2007-01-01,2007-01-01,1,1,1
LCA,2,2015-01-01,2021-01-01,1,2,2
LIE,7,2007-01-01,2020-01-01,2,3,5
LKA,10,1964-01-01,2021-01-01,5,5,7
LSO,2,2015-01-01,2019-01-01,2,2,2
LTU,5,2009-01-01,2018-01-01,2,3,5
LUX,7,1998-01-01,2021-01-01,3,6,7
LVA,5,2004-01-01,2018-01-01,1,4,5
MAR,46,2008-01-01,2025-01-01,6,20,26
MDA,6,2013-01-01,2020-01-01,2,2,5
MDG,6,2003-01-01,2022-01-01,3,2,5
MDV,7,1993-01-01,2020-01-01,3,3,5
MEX,141,1975-01-01,2025-01-01,15,39,90
MHL,6,2006-01-01,2020-01-01,3,3,5
MKD,5,2014-01-01,2021-01-01,2,3,5
MLI,5,2006-01-01,2021-01-01,3,4,4
MLT,2,2009-01-01,2010-01-01,1,2,2
MMR,7,2009-01-01,2021-01-01,4,3,3
MNE,7,2003-01-01,2021-01-01,2,3,6
MNG,14,2000-01-01,2022-01-01,3,7,9
MOZ,13,1995-01-01,2020-01-01,3,5,9
MRT,2,2015-01-01,2021-01-01,1,1,1
MUS,4,2009-01-01,2021-01-01,2,3,3
MWI,4,2012-01-01,2021-01-01,3,2,4
MYS,25,1993-01-01,2021-01-01,4,13,21
NAM,5,2011-01-01,2023-01-01,2,2,5
NER,3,2005-01-01,2018-01-01,2,2,3
NGA,44,1979-01-01,2024-01-01,7,15,25
NIC,3,2010-01-01,2020-01-01,2,3,3
NLD,29,1997-01-01,2021-01-01,3,11,22
NOR,106,1976-01-01,2025-01-01,7,32,63
NPL,29,2001-01-01,2025-01-01,7,7,10
NRU,4,2005-01-01,2022-01-01,4,3,3
NZL,52,2000-01-01,2025-01-01,7,27,39
OMN,2,2015-01-01,2023-01-01,2,1,2
PAK,22,1983-01-01,2021-01-01,3,7,19
PAN,4,2007-01-01,2020-01-01,3,3,4
PER,50,1997-01-01,2025-01-01,12,15,28
PHL,48,1991-01-01,2025-01-01,7,17,28
PLW,3,2015-01-01,2017-01-01,2,2,3
PNG,4,2011-01-01,2020-01-01,2,1,4
POL,25,1990-01-01,2022-01-01,2,9,22
PRK,7,2007-01-01,2019-01-01,2,5,5
PRT,15,1996-01-01,2018-01-01,2,7,11
PRY,6,2012-01-01,2021-01-01,2,2,6
QAT,2,2015-01-01,2021-01-01,1,1,2
ROU,16,2002-01-01,2020-01-01,2,9,14
RUS,74,1999-01-01,2025-01-01,11,39,56
RWA,10,2000-01-01,2020-01-01,2,3,7
SAU,36,1974-01-01,2025-01-01,7,19,29
SDN,3,2015-01-01,2021-01-01,2,3,3
SEN,13,2001-01-01,2020-01-01,2,5,7
SGP,42,1989-01-01,2025-01-01,4,19,32
SLB,7,2012-01-01,2022-01-01,5,5,6
SLE,3,2015-01-01,2021-01-01,2,2,3
SLV,8,2005-01-01,2021-01-01,3,4,6
SMR,2,2015-01-01,2020-01-01,2,2,2
SOM,3,2015-01-01,2021-01-01,2,2,3
SRB,4,2010-01-01,2021-01-01,2,3,4
SSD,4,2011-01-01,2020-01-01,2,2,3
STP,3,2015-01-01,2021-01-01,2,2,3
SUR,7,1958-01-01,2020-01-01,4,3,6
SVK,29,2001-01-01,2017-01-01,3,10,24
SVN,13,1996-01-01,2018-01-01,2,11,13
SWE,95,1990-01-01,2022-01-01,3,27,61
SWZ,4,2015-01-01,2021-01-01,2,2,4
SYC,4,2009-01-01,2021-01-01,3,2,4
SYR,5,2009-01-01,2018-01-01,4,4,5
TCD,3,2015-01-01,2021-01-01,2,2,2
TGO,11,1998-01-01,2021-01-01,4,5,6
THA,59,1941-01-01,2025-01-01,11,23,36
TJK,16,1996-01-01,2022-01-01,4,10,15
TKM,3,2012-01-01,2020-01-01,3,2,3
TLS,4,2007-01-01,2016-01-01,3,2,3
TON,8,2009-01-01,2020-01-01,5,5,8
TTO,8,2000-01-01,2017-01-01,4,3,6
TUN,21,1995-01-01,2021-01-01,4,7,20
TUR,120,1956-01-01,2025-01-01,15,40,82
TUV,8,2005-01-01,2017-01-01,4,4,6
TZA,18,2000-01-01,2022-01-01,5,6,11
UGA,14,1995-01-01,2018-01-01,5,6,11
UKR,56,1994-01-01,2025-01-01,4,28,46
URY,36,2005-01-01,2023-01-01,3,11,26
USA,485,1954-01-01,2025-01-01,18,113,299
UZB,20,1996-01-01,2021-01-01,6,9,16
VCT,2,2010-01-01,2015-01-01,2,2,2
VEN,10,2005-01-01,2022-01-01,3,6,7
VNM,74,2001-01-01,2025-01-01,8,22,49
VUT,9,2000-01-01,2021-01-01,5,4,5
WSM,4,2007-01-01,2018-01-01,4,4,3
YEM,5,2005-01-01,2015-01-01,4,3,4
ZAF,110,1964-01-01,2025-01-01,12,41,75
ZMB,17,1995-01-01,2021-01-01,6,7,10
ZWE,12,2003-01-01,2022-01-01,3,5,9
