country,year,investment_pp,technology
KHM,2010,247000000.0,Coal
KHM,2010,106500000.0,Not Applicable
KHM,2010,558000000.0,"Hydro, Large (>50MW)"
KHM,2010,412000000.0,"Hydro, Large (>50MW)"
KHM,2010,540000000.0,"Hydro, Large (>50MW)"
KHM,2012,,Biomass
KHM,2017,12500000.0,"Solar, PV"
KHM,2018,100210000.0,Other
KHM,2020,45000000.0,"Solar, PV"
KHM,2020,55000000.0,Other
KHM,2021,41200000.0,"Solar, PV"
KHM,2023,447500000.0,"Hydro, Large (>50MW)"
CHN,2010,36930000.0,Biomass
CHN,2010,249000000.0,Wind
CHN,2010,58060000.0,Wind
CHN,2010,51810000.0,"Solar, PV"
CHN,2010,25670000.0,"Hydro, Small (<50MW)"
CHN,2011,34430000.0,Biomass
CHN,2011,45850000.0,Biomass
CHN,2011,22010000.0,"Solar, PV"
CHN,2011,7640000.0,Not Applicable
CHN,2011,46830000.0,Wind
CHN,2011,7640000.0,Not Applicable
CHN,2011,79470000.0,Wind
CHN,2011,15280000.0,Not Applicable
CHN,2011,45820000.0,Biomass
CHN,2011,45980000.0,Biomass
CHN,2011,38830000.0,Biomass
CHN,2011,4580000.0,Not Applicable
CHN,2011,32570000.0,Biomass
CHN,2011,72200000.0,Wind
CHN,2011,61130000.0,Wind
CHN,2011,68010000.0,Wind
CHN,2011,76410000.0,Wind
CHN,2011,12230000.0,"Solar, PV"
CHN,2011,76410000.0,Wind
CHN,2011,71500000.0,Wind
CHN,2011,77400000.0,Wind
CHN,2011,45760000.0,Biomass
CHN,2011,74880000.0,Wind
CHN,2011,9000000.0,"Solar, PV"
CHN,2011,48900000.0,Biomass
CHN,2011,275080000.0,Wind
CHN,2011,30000000.0,"Solar, PV"
CHN,2011,33940000.0,"Solar, PV"
CHN,2011,122260000.0,"Solar, PV"
CHN,2011,76410000.0,Wind
CHN,2011,,Not Applicable
CHN,2011,53370000.0,"Solar, PV"
CHN,2011,90000000.0,"Solar, PV"
CHN,2011,91690000.0,"Solar, PV"
CHN,2011,54560000.0,"Solar, PV"
CHN,2011,9000000.0,"Solar, PV"
CHN,2011,64190000.0,Wind
CHN,2011,71830000.0,Wind
CHN,2011,77160000.0,Wind
CHN,2011,,"Solar, PV"
CHN,2011,45960000.0,Biomass
CHN,2011,100000000.0,Wind
CHN,2011,48910000.0,Biomass
CHN,2011,38020000.0,"Solar, PV"
CHN,2011,38050000.0,"Solar, PV"
CHN,2011,92860000.0,Biomass
CHN,2011,24990000.0,"Solar, PV"
CHN,2011,41200000.0,Waste
CHN,2011,70900000.0,"Solar, PV"
CHN,2012,46870000.0,Biomass
CHN,2012,21080000.0,"Hydro, Small (<50MW)"
CHN,2012,69570000.0,Biomass
CHN,2012,51690000.0,Biomass
CHN,2012,64430000.00000001,Wind
CHN,2012,47500000.0,Biomass
CHN,2012,,Waste
CHN,2012,38020000.0,"Solar, PV"
CHN,2012,47840000.0,Biomass
CHN,2012,,"Solar, PV"
CHN,2012,34850000.0,"Solar, PV"
CHN,2012,153130000.0,"Solar, PV"
CHN,2012,41190000.0,Biomass
CHN,2012,49110000.0,Biomass
CHN,2012,70810000.0,Wind
CHN,2012,,"Solar, PV"
CHN,2012,74880000.0,"Solar, PV"
CHN,2012,89900000.0,"Solar, PV"
CHN,2012,53490000.0,Waste
CHN,2012,47530000.0,Biomass
CHN,2012,45850000.0,Biomass
CHN,2012,7920000.0,"Hydro, Small (<50MW)"
CHN,2012,101430000.0,Waste
CHN,2012,100860000.0,Biomass
CHN,2012,35600000.0,Biomass
CHN,2012,28530000.0,"Solar, PV"
CHN,2012,68120000.0,Biomass
CHN,2012,34840000.0,Biomass
CHN,2012,61130000.0,Wind
CHN,2012,,Wind
CHN,2012,47530000.0,Biomass
CHN,2012,42150000.0,"Solar, PV"
CHN,2012,12960000.0,"Solar, PV"
CHN,2012,1000000000.0,"Solar, PV"
CHN,2012,63390000.0,"Solar, PV"
CHN,2012,48650000.0,Biomass
CHN,2012,44370000.0,Biomass
CHN,2012,51960000.0,Biomass
CHN,2012,19010000.0,"Solar, PV"
CHN,2012,205950000.0,"Solar, PV"
CHN,2012,79980000.0,Waste
CHN,2013,5330000.0,Waste
CHN,2013,45680000.0,Biomass
CHN,2013,41960000.0,"Solar, PV"
CHN,2013,48420000.0,"Solar, PV"
CHN,2013,9370000.0,"Solar, PV"
CHN,2013,85540000.0,"Solar, PV"
CHN,2013,45380000.0,Biomass
CHN,2013,58100000.0,Biomass
CHN,2013,54880000.0,Biomass
CHN,2013,107820000.0,Biomass
CHN,2013,74240000.0,Wind
CHN,2013,54880000.0,Wind
CHN,2013,40350000.0,"Solar, PV"
CHN,2013,110880000.0,"Solar, PV"
CHN,2013,79890000.0,"Solar, PV"
CHN,2013,137190000.0,"Solar, PV"
CHN,2013,48420000.0,"Solar, PV"
CHN,2013,42950000.0,"Solar, PV"
CHN,2013,255660000.0,"Solar, PV"
CHN,2013,7830000.0,Not Applicable
CHN,2013,40670000.0,"Solar, PV"
CHN,2013,80700000.0,Wind
CHN,2013,48420000.0,"Solar, PV"
CHN,2013,46810000.0,Biomass
CHN,2013,45710000.0,Biomass
CHN,2013,59910000.0,Biomass
CHN,2013,58100000.0,Biomass
CHN,2013,193680000.0,"Solar, PV"
CHN,2013,73220000.0,Wind
CHN,2013,51650000.0,Waste
CHN,2013,56490000.0,Waste
CHN,2013,44710000.0,"Solar, PV"
CHN,2013,40350000.0,Not Applicable
CHN,2013,40350000.0,"Solar, PV"
CHN,2013,24210000.0,Not Applicable
CHN,2013,48420000.0,Biomass
CHN,2013,88770000.0,"Solar, PV"
CHN,2013,35510000.0,"Solar, PV"
CHN,2013,322260000.0,"Solar, PV"
CHN,2013,37230000.0,Biomass
CHN,2013,44220000.0,Waste
CHN,2013,95390000.0,"Solar, PV"
CHN,2013,10690000.0,Not Applicable
CHN,2013,58100000.0,"Solar, PV"
CHN,2013,38740000.0,"Solar, PV"
CHN,2013,5520000.0,Biogas
CHN,2013,161400000.0,"Solar, PV"
CHN,2013,96840000.0,"Solar, PV"
CHN,2013,41480000.0,"Solar, PV"
CHN,2013,3340000.0,"Hydro, Small (<50MW)"
CHN,2013,51650000.0,Biomass
CHN,2013,69400000.0,Wind
CHN,2013,80700000.0,Wind
CHN,2013,110880000.0,"Solar, PV"
CHN,2013,77470000.0,Biomass
CHN,2013,34540000.0,"Solar, PV"
CHN,2014,47440000.0,Biomass
CHN,2014,38240000.0,"Solar, PV"
CHN,2014,47440000.0,Biomass
CHN,2014,48860000.0,Biomass
CHN,2014,40040000.0,"Solar, PV"
CHN,2014,87900000.0,"Solar, PV"
CHN,2014,40210000.0,"Solar, PV"
CHN,2014,20200000.0,Not Applicable
CHN,2014,35070000.0,"Solar, PV"
CHN,2014,25200000.0,Biomass
CHN,2014,30930000.0,Waste
CHN,2014,34180000.0,"Solar, PV"
CHN,2014,73250000.0,Waste
CHN,2014,160100000.0,Waste
CHN,2014,102550000.0,Waste
CHN,2014,135100000.0,Wind
CHN,2014,47440000.0,Biomass
CHN,2014,35810000.0,"Solar, PV"
CHN,2014,97670000.0,Biomass
CHN,2014,24420000.0,
CHN,2014,80700000.0,"Solar, PV"
CHN,2014,13340000.0,Biomass
