country_iso,clean_policy_count,green_investment_narrow,green_investment_broad,green_share_narrow,green_share_broad,avg_gdp_pc,avg_rule_law,cluster,log_green_investment
AFG,1,37.89,37.89,0.1808678218530717,0.1808678218530717,456.05362887074017,-1.7948485916666668,0,3.660737148167656
AGO,6,1600.0,1600.0,1.0,1.0,3087.3811699741,-1.2854296583333333,0,7.3783837129967145
ALB,2,187.33,187.33,1.0,1.0,3932.6348080846724,-0.3924160708333333,0,5.2381957432066555
ARG,54,4828.82,4853.820000000001,0.7495467471345726,0.750514896433144,12338.367219982441,-0.4432562458333333,1,8.482564478871438
ARM,2,90.00999999999999,90.00999999999999,0.205779474634782,0.205779474634782,3194.203186033738,-0.31217046666666665,0,4.510969390589264
AZE,1,1822.0,1822.0,1.0,1.0,4411.76128728079,-0.7110173583333332,0,7.508238774678663
BDI,3,24.4,24.4,1.0,1.0,259.92820990746213,-1.2556786833333333,0,3.2347491740244907
BEN,5,25.42,25.42,1.0,1.0,1006.9083313240947,-0.3980968583333333,0,3.2741212990941793
BFA,1,260.11,260.11,1.0,1.0,596.5962832462992,-0.49927259166666665,0,5.564941774473782
BGD,6,440.56,440.56,0.1197968218057625,0.1197968218057625,1140.9481883491687,-0.9402112291666667,0,6.090313911150151
BGR,12,702.6800000000001,702.6800000000001,1.0,1.0,6843.903738628983,-0.14483861666666664,1,6.5563237073663965
BIH,2,574.01,574.01,1.0,1.0,4380.416337967842,-0.35715909166666665,1,6.354387431950471
BLR,8,11.3,11.3,1.0,1.0,5219.532906414258,-0.9260992958333333,0,2.509599262378372
BRA,79,27218.08,31788.18,0.824843292963063,0.8461508976527352,8355.509677327003,-0.28419616666666664,1,10.211673476956825
BWA,1,125.5,125.5,1.0,1.0,6092.7502014171905,0.56129945,1,4.840242308167575
CHN,139,19428.441,29961.171,0.9498248842897749,0.9668795385854247,6976.27023022401,-0.6521571791666666,1,9.874544772014236
CIV,1,536.8599999999999,536.8599999999999,0.3985301759334866,0.3985301759334866,1751.429243742718,-1.0018052166666667,0,6.287598303249565
CMR,3,100.0,1488.34,1.0,1.0,1343.0869270852795,-1.146302075,0,4.61512051684126
COD,3,785.0,785.0,1.0,1.0,428.86807893534746,-1.6595392791666665,0,6.666956792429207
COL,46,1277.8,1277.8,0.91533606974262,0.91533606974262,5510.45456586167,-0.5125489166666667,1,7.153677417185686
CPV,1,30.0,30.0,1.0,1.0,3201.357540373424,0.6029088583333333,1,3.4339872044851463
DJI,2,123.5,123.5,1.0,1.0,2693.6174447600333,-0.9355937208333334,0,4.824305715904762
DOM,6,1705.6699999999998,1705.6699999999998,0.8409896606300261,0.8409896606300261,6228.669177934713,-0.5161674958333333,1,7.442299382488536
ECU,7,403.8,403.8,1.0,1.0,5280.600948055623,-0.8730223541666667,0,6.003393117973256
EGY,16,4722.73,4842.73,1.0,1.0,3218.4880194061775,-0.5219320291666666,0,8.460354020730417
ETH,13,271.0,271.0,1.0,1.0,514.5008457268375,-0.8731264958333332,0,5.605802066295998
GAB,4,560.34,560.34,1.0,1.0,6859.24134763749,-0.6671181625,1,6.330326782548198
GEO,11,249.62,314.61999999999995,1.0,1.0,3661.254248038554,-0.06778562500000003,1,5.523937847737139
GHA,4,0.0,0.0,0.0,0.0,1559.0285696303963,0.07639928749999998,0,0.0
GIN,1,76.5,76.5,0.3873417721518987,0.3873417721518987,771.0492760827063,-1.282173425,0,4.350277936359301
GTM,6,120.4,120.4,1.0,1.0,3732.7557731312672,-0.9708672708333332,0,4.799090878625398
HND,4,978.9,978.9,1.0,1.0,2179.0436969988536,-1.0500573666666666,0,6.887450525641773
IDN,107,2420.3,3240.4,0.1194012915447723,0.1536433638053332,2962.378284651509,-0.46604559999999995,0,7.7920598649984365
IND,113,15928.409999999998,15928.409999999998,0.9147734288361004,0.9147734288361004,1419.5034344515107,0.002404558333333339,0,9.675922365181169
IRN,10,94.5,94.5,1.0,1.0,4979.804164144732,-1.0571904708333333,0,4.5591262474866845
IRQ,3,0.0,0.0,0.0,0.0,4071.504757707568,-1.5381609041666666,0,0.0
JAM,5,148.3,148.3,0.3100564499268242,0.3100564499268242,5526.164893085909,-0.20601191249999995,1,5.005957704545144
JOR,3,1360.8000000000002,1360.8000000000002,0.7412572175618259,0.7412572175618259,4083.1070822679203,0.13236013749999997,1,7.216562633048866
KAZ,18,1093.91,1093.91,0.820077816344431,0.820077816344431,8836.316725717948,-0.6636544041666667,1,6.99842744709185
KEN,17,899.96,899.96,1.0,1.0,1430.6942675995385,-0.7011999499999999,0,6.803460861506308
KGZ,1,217.8,335.79,1.0,1.0,1013.6844731066717,-0.9071454166666667,0,5.388158070547826
KHM,3,98.7,546.2,1.0,1.0,1356.773207182519,-1.1976637583333334,0,4.602165676967792
KNA,1,47.85,47.85,1.0,1.0,18335.39875726195,0.7840373375,1,3.888754378488792
LAO,3,1058.0,2858.0,1.0,1.0,1807.4568449996593,-0.9958859958333334,0,6.9650803456014065
