Main Revenue Source,Very Low,Low,Middle,High
Purchase agreements or transmission fees with public entity(ies),585,256,1519,223
Not Applicable,333,214,937,137
User fees,481,164,729,154
PPA/WPA payments,161,152,262,17
Fixed annuity/availability payment(s) from the government,157,27,263,24
Variable annuity/availability payment(s) from the government,64,9,204,25
Public purchase agreements or transmission fees with private entity(ies),38,24,170,14
Sales to wholesale market,35,30,113,29
"Purchase agreements or transmission fees with public entity(ies), 

Public purchase agreements or transmission fees with private entity(ies)",10,2,77,0
Other,1,0,11,0
"PPA/WPA payments, 

Other",0,0,5,0
"User fees, 

Other",4,0,0,0
Other Viability Gap Funding,0,0,3,0
"Fixed annuity/availability payment(s) from the government, 

Variable annuity/availability payment(s) from the government",0,0,0,2
Other Viable Gap Funding,1,0,0,0
