Main Revenue Source,Very Low,Low,Middle,High
Purchase agreements or transmission fees with public entity(ies),0.9515596437338301,0.886884786029358,1.076263571512861,1.0852919987239509
Not Applicable,0.8289560293015429,1.134613966378308,1.0160324300414114,1.0203975742787377
User fees,1.196064411372224,0.8685612114085447,0.7896192697365761,1.145755107482655
PPA/WPA payments,0.9911884525729724,1.9930630438980579,0.7026068299161022,0.3131416736128675
Fixed annuity/availability payment(s) from the government,1.5665746536770435,0.5738023175438819,1.1431096992807235,0.7165133294983512
Variable annuity/availability payment(s) from the government,1.0371531710037372,0.3106365295414454,1.4400375308442,1.2121727686106178
Public purchase agreements or transmission fees with private entity(ies),0.7412647070193535,0.9971214497970442,1.4445060524565847,0.8171077907270178
Sales to wholesale market,0.5960358362768846,1.0881096783317028,0.838230558475049,1.4776239269163636
"Purchase agreements or transmission fees with public entity(ies), 

Public purchase agreements or transmission fees with private entity(ies)",0.8368143299847843,0.3564562180117419,2.8067294520034736,0.0
Other,0.6906648433415116,0.0,3.3093351566584883,0.0
"PPA/WPA payments, 

Other",0.0,0.0,4.0,0.0
"User fees, 

Other",4.0,0.0,0.0,0.0
Other Viability Gap Funding,0.0,0.0,4.0,0.0
"Fixed annuity/availability payment(s) from the government, 

Variable annuity/availability payment(s) from the government",0.0,0.0,0.0,4.0
Other Viable Gap Funding,4.0,0.0,0.0,0.0
