Main Revenue Source,Very Low,Low,Middle,High
Purchase agreements or transmission fees with public entity(ies),31.283422459893046,29.157175398633257,35.38318192406243,35.68
Not Applicable,17.807486631016044,24.373576309794988,21.826228744467738,21.92
User fees,25.721925133689837,18.678815489749432,16.9811320754717,24.64
PPA/WPA payments,8.609625668449198,17.312072892938495,6.102958304216166,2.7199999999999998
Fixed annuity/availability payment(s) from the government,8.395721925133689,3.0751708428246016,6.126252038201724,3.84
Variable annuity/availability payment(s) from the government,3.4224598930481283,1.0250569476082005,4.751921733053808,4.0
Public purchase agreements or transmission fees with private entity(ies),2.0320855614973263,2.733485193621868,3.9599347775448406,2.2399999999999998
Sales to wholesale market,1.8716577540106951,3.416856492027335,2.632191940368041,4.64
"Purchase agreements or transmission fees with public entity(ies), 

Public purchase agreements or transmission fees with private entity(ies)",0.53475935828877,0.22779043280182232,1.7936175168879571,0.0
Other,0.053475935828877004,0.0,0.2562310738411367,0.0
"PPA/WPA payments, 

Other",0.0,0.0,0.11646866992778944,0.0
"User fees, 

Other",0.21390374331550802,0.0,0.0,0.0
Other Viability Gap Funding,0.0,0.0,0.06988120195667365,0.0
"Fixed annuity/availability payment(s) from the government, 

Variable annuity/availability payment(s) from the government",0.0,0.0,0.0,0.32
Other Viable Gap Funding,0.053475935828877004,0.0,0.0,0.0
