Subtype of PPI,Very Low,Low,Middle,High
"Build, lease, and transfer",2,3,10,1
"Build, operate, and transfer",345,176,1729,141
"Build, own, and operate",628,285,900,173
"Build, rehabilitate, operate, and transfer",421,48,433,65
Full,7,84,55,8
Lease contract,12,10,24,25
Management contract,49,38,173,34
Merchant,47,20,49,35
Not Available,127,91,420,55
Other,50,18,34,7
Partial,62,49,134,57
"Rehabilitate, lease or rent, and transfer",10,22,6,1
"Rehabilitate, operate, and transfer",61,27,327,19
Rental,50,10,3,4
