Subtype of PPI,Very Low,Low,Middle,High
"Build, lease, and transfer",0.508939207649789,1.6212688833928863,1.1080117029471204,0.7617802060102042
"Build, operate, and transfer",0.728726670432743,0.7895072387004901,1.5901899208793702,0.8915761699873962
"Build, own, and operate",1.17217106048917,1.1297285139208169,0.7314460424758323,0.9666543831141807
"Build, rehabilitate, operate, and transfer",1.8585973974207992,0.45003091139567464,0.8323376864810828,0.8590340047024437
Full,0.12002247565447063,3.05873396526013,0.4106158069491439,0.4106277521362552
Lease contract,0.4049699536911299,0.7167033516421717,0.35266408347968536,2.525662611187013
Management contract,0.638828631173216,1.0521308813999235,0.9820708696814581,1.3269696177454025
Merchant,0.8720416065995928,0.7880744057516063,0.3958620435407388,1.9440219441080626
Not Available,0.7607259108725054,1.1576139704439627,1.0954238999958443,0.9862362186876872
Other,1.6130788847216935,1.2332638065756458,0.47760949580025985,0.6760478129024006
Partial,0.6277783031800733,1.0536795990122285,0.5907828023433038,1.7277592954643948
"Rehabilitate, lease or rent, and transfer",0.6417658594554425,2.998452475244599,0.1676626376133767,0.19211902768658123
"Rehabilitate, operate, and transfer",0.7682588638341417,0.722169907971741,1.793221474739956,0.7163497534541614
Rental,2.3663628916509203,1.0050998797454873,0.061821712407896745,0.5667155161956956
