Subtype of PPI,Very Low,Low,Middle,High
"Build, lease, and transfer",0.10689470871191875,0.340522133938706,0.23272050267628577,0.16
"Build, operate, and transfer",18.439337252805988,19.977298524404084,40.23737491272981,22.56
"Build, own, and operate",33.564938535542495,32.349602724177075,20.94484524086572,27.68
"Build, rehabilitate, operate, and transfer",22.5013361838589,5.448354143019296,10.076797765883175,10.4
Full,0.3741314804917157,9.534619750283769,1.2799627647195717,1.28
Lease contract,0.6413682522715126,1.1350737797956867,0.5585292064230859,4.0
Management contract,2.61892036344201,4.313280363223609,4.026064696299744,5.4399999999999995
Merchant,2.512025654730091,2.2701475595913734,1.1403304631138003,5.6000000000000005
Not Available,6.787814003206841,10.32917139614075,9.774261112404002,8.799999999999999
Other,2.672367717797969,2.0431328036322363,0.7912497090993718,1.1199999999999999
Partial,3.313735970069481,5.561861520998865,3.1184547358622297,9.120000000000001
"Rehabilitate, lease or rent, and transfer",0.5344735435595939,2.4971623155505105,0.13963230160577147,0.16
"Rehabilitate, operate, and transfer",3.260288615713522,3.064699205448354,7.609960437514545,3.04
Rental,2.672367717797969,1.1350737797956867,0.06981615080288574,0.64
