Technology,Very Low,Low,Middle,High
"Solar, PV",25.69593147751606,23.608445297504797,22.914521112255407,30.47945205479452
Wind,16.167023554603855,13.051823416506716,20.85478887744593,28.08219178082192
Not Applicable,6.102783725910064,5.758157389635317,13.851699279093719,4.10958904109589
"Hydro, Small (<50MW)",8.565310492505352,16.89059500959693,8.753861997940268,2.73972602739726
Natural Gas,8.886509635974305,7.293666026871401,5.355303810504634,17.123287671232877
"Hydro, Large (>50MW)",6.102783725910064,8.253358925143955,6.230690010298661,2.73972602739726
Coal,12.526766595289079,9.596928982725528,2.111225540679712,3.767123287671233
Biomass,1.9271948608137044,3.45489443378119,8.084449021627188,4.10958904109589
Diesel,8.244111349036402,4.606525911708253,2.677651905252317,2.3972602739726026
Waste,1.7130620985010707,0.5758157389635317,5.561277033985582,1.0273972602739725
"N/A, N/A",0.8565310492505354,1.1516314779270633,1.3903192584963955,1.36986301369863
Geothermal,0.4282655246252677,4.222648752399232,0.3604531410916581,0.3424657534246575
Other,2.141327623126338,0.3838771593090211,0.5664263645726055,0.0
Biogas,0.10706638115631692,0.5758157389635317,0.6179196704428425,1.7123287671232876
"Solar, CSP",0.5353319057815845,0.5758157389635317,0.6694129763130793,0.0
