Technology,Projects
,3995
"Solar, PV",925
Wind,827
"Hydro, Small (<50MW)",418
Not Applicable,393
Natural Gas,294
"Hydro, Large (>50MW)",278
Coal,241
Biomass,210
Diesel,162
Waste,133
"N/A, N/A",45
Geothermal,43
Other,33
Biogas,25
"Solar, CSP",21
"Solar, PV, N/A",20
"Coal, Natural Gas",10
"Solar, CPV",10
"Coal, Diesel",8
"Hydro, Large (>50MW), Other",7
"Wind, N/A",5
"Diesel, Natural Gas",5
"Natural Gas, Steam",4
"Wind, Solar, PV",4
"Solar, PV, Wind",4
"Solar, PV, Solar, PV",3
"Natural Gas, N/A",3
"Wind, Not Applicable",2
"Natural Gas, Diesel",2
Nuclear,2
"Natural Gas, Hydro, Large (>50MW), Wind",2
"Diesel, Waste",2
"Not Applicable, Diesel, Wind",2
"Solar, PV, Wind, N/A",2
"N/A, N/A, N/A",2
"Coal, Hydro, Large (>50MW)",1
"Wind, Other",1
"Solar, PV, Other",1
"Wind, Coal, N/A",1
"Solar, PV, Wind, Coal, N/A",1
"Coal, Diesel, Natural Gas",1
"Solar, PV, Biogas",1
"Diesel, Geothermal",1
Steam,1
"Diesel, Natural Gas, Hydro, Large (>50MW)",1
"Solar, PV, Not Applicable",1
"Natural Gas, Steam, Solar, CSP",1
"Natural Gas, Steam, Solar, PV",1
"Not Applicable, N/A",1
"Diesel, Geothermal, Hydro, Large (>50MW), Wind",1
"Hydro, Large (>50MW), Diesel, N/A",1
"Diesel, Hydro, Large (>50MW)",1
"Natural Gas, Other",1
"Diesel, Natural Gas, Other",1
